country,continent,langs,population,area,growing.season
Algeria,Africa,18,4.41,6.38,6.6
Angola,Africa,42,4.01,6.1,6.22
Australia,Oceania,234,4.24,6.89,6
Bangladesh,Asia,37,5.07,5.16,7.4
Benin,Africa,52,3.69,5.05,7.14
Bolivia,South America,38,3.88,6.04,6.92
Botswana,Africa,27,3.13,5.76,4.6
Brazil,South America,209,5.19,6.93,9.71
Burkina Faso,Africa,75,3.97,5.44,5.17
CAR,Africa,94,3.5,5.79,8.08
Cambodia,Asia,18,3.93,5.26,8.44
Cameroon,Africa,275,4.09,5.68,9.17
Chad,Africa,126,3.76,6.11,4
Colombia,South America,79,4.53,6.06,11.37
Congo,Africa,60,3.37,5.53,9.6
Costa Rica,North America,10,3.49,4.71,8.92
Cote d'Ivoire,Africa,75,4.1,5.51,8.67
Cuba,North America,1,4.03,5.04,7.46
Ecuador,South America,22,4.04,5.45,8.14
Egypt,Africa,11,4.74,6,0.89
Ethiopia,Africa,112,4.73,6.09,7.28
French Guiana,South America,11,2.01,4.95,10.4
Gabon,Africa,40,3.08,5.43,8.79
Ghana,Africa,73,4.19,5.38,8.79
Guatemala,South America,52,3.98,5.04,9.31
Guinea,Africa,29,3.77,5.39,7.38
Guyana,South America,14,2.9,5.33,12
Honduras,North America,9,3.72,5.05,8.54
India,Asia,405,5.93,6.52,5.32
Indonesia,Asia,701,5.27,6.28,10.67
Kenya,Africa,58,4.41,5.76,7.26
Laos,Asia,93,3.63,5.37,7.14
Liberia,Africa,34,3.43,5.05,10.62
Libya,Africa,13,3.67,6.25,2.43
Madagascar,Africa,4,4.06,5.77,7.33
Malawi,Africa,14,3.93,5.07,5.8
Malaysia,Asia,140,4.26,5.52,11.92
Mali,Africa,31,3.98,6.09,3.59
Mauritania,Africa,8,3.31,6.01,0.75
Mexico,North America,243,4.94,6.29,5.84
Mozambique,Africa,36,4.21,5.9,6.07
Myanmar,Asia,105,4.63,5.83,6.93
Namibia,Africa,21,3.26,5.92,2.5
Nepal,Asia,102,4.29,5.15,6.39
Nicaragua,South America,7,3.6,5.11,8.13
Niger,Africa,21,3.9,6.1,2.4
Nigeria,Africa,427,5.05,5.97,7
Oman,Asia,8,3.19,5.33,0
Panama,North America,13,3.39,4.88,9.2
Papua New Guinea,Oceania,862,3.58,5.67,10.88
Paraguay,South America,21,3.64,5.61,10.25
Peru,South America,91,4.34,6.11,2.65
Phillipines,Asia,168,4.8,5.48,10.34
Saudi Arabia,Asia,8,4.17,6.33,0.4
Senegal,Africa,42,3.88,5.29,3.58
Sierra Leone,Africa,23,3.63,4.86,8.22
Solomon Islands,Oceania,66,3.52,4.46,12
Somalia,Africa,14,3.89,5.8,3
South Africa,Africa,32,4.56,6.09,6.05
Sri Lanka,Asia,7,4.24,4.82,9.59
Sudan,Africa,134,4.41,6.4,4.02
Suriname,South America,17,2.63,5.21,12
Tanzania,Africa,131,4.45,5.98,7.02
Thailand,Asia,82,4.75,5.71,8.04
Togo,Africa,43,3.56,4.75,7.91
UAE,Asia,9,3.21,4.92,0.83
Uganda,Africa,43,4.29,5.37,10.14
Vanuatu,Oceania,111,2.21,4.09,12
Venezuela,South America,40,4.31,5.96,7.98
Vietnam,Asia,88,4.83,5.52,8.8
Yemen,Asia,6,4.09,5.72,0
Zaire,Africa,219,4.56,6.37,9.44
Zambia,Africa,38,3.94,5.88,5.43
Zimbabwe,Africa,18,4,5.59,5.29
